employer_name,count,sum_of_total_workers,e_name,certified_number
".CLUB DOMAINS, LLC",2,2,,
"UNIVERSITY MECHANICAL CONTRACTORS, INC.",1,1,,
1 DHANAM,2,2,,
"S.W.GROUP, INC.",1,1,,
1 DUMMY,7,7,,
"SAFEGUARD SCIENTIFICS, INC.",1,1,,
180LA,1,1,,
SAFFER &AMP; FLINT ACCOUNTANCY CORPORATION,2,2,,
ACCORDION PARTNERS LLC,1,1,,
RYAN DIRECTIONAL SERVICES,1,1,,
"ACCOUNTING EXPERT, INC.",1,1,,
RUJUL G PARIKH DDS INC,1,1,,
"AG LEADER TECHNOLOGY, INC.",1,1,,
ROSS & BARUZZINI INC.,1,1,,
ANGEL OAK GLOBAL MARKETS LLC,1,1,,
"ROLL-TECH MOLDING PRODUCTS, LLC",1,1,,
"BLACKSTONE TECHNOLOGY GROUP, INC.",3,3,,
"RHEMA THERAPY II, LLC",1,1,,
"DEEPFLEX, INC.",1,1,,
SAGARSOFT INC,1,1,,
"DEFINE MOBILITY, LP",2,2,,
"RODL WARREN AVERETT, LLC",2,2,,
DEFINITIVE MEDIA CORP.,1,1,,
RESONANCE GLOBAL COMPLIANCE LLC,1,1,,
DEFOUW CHEVROLET INC.,1,1,,
"ROCHE DIABETES CARE, INC.",1,1,,
"BLAND FARMS, LLC",1,1,,
NORTH MISSISSIPPI MEDICAL CENTER,1,1,,
"DEKALB REGIONAL HEALTH SYSTEM, INC.",1,1,,
TRUSTEES OF THE ESTATE OF BERNICE PAUAHI BISHOP,1,1,,
ANGELO STATE UNIVERSITY,1,1,,
KOREAN AMERICAN COALITION,1,1,,
"BLAZESPORTS AMERICA, INC.",1,1,,
"NORTHERN STAMPING, INC",1,1,,
"DELICIAS, LLC",1,1,,
"TRUSTPILOT, INC.",1,1,,
"BLENCOR, LLC",1,1,,
TULLA CONTRACTING CORP.,1,1,,
"BLEND SYSTEMS, INC.",2,2,,
TRUSTWIN INVESTMENTS LLC,1,1,,
"BLENHEIM CAPITAL MANAGEMENT, L.L.C.",1,1,,
"TSA STORES, INC",2,2,,
"DELL PRODUCTS, LP",2,2,,
"KOR HOTEL MANAGEMENT, LLC",1,1,,
"BLG LOGISTICS, INC.",1,1,,
PRECISION GLOBAL CONSULTING INC.,1,1,,
DELLUEA L.P.,1,1,,
"TUSCON HOSPITAL HOLDINGS, INC",1,1,,
BLINK INCORPORATED,2,2,,
GORAS CAPITAL LLC,2,2,,
"AGC AUTOMOTIVE ALABAMA, INC.",1,1,,
HARMONY SCHOOL OF INNOVATION-DALLAS,1,1,,
"ANGELS PHARMACY II, INC.",1,1,,
"KRE CONSULTING, LLC",1,1,,
BLOOMSBURY PUBLISHING INC.,1,1,,
"POLYZEN, INC.",1,1,,
DELUX 3D LLC,1,1,,
RUAN TRANSPORT CORPORATION,1,1,,
BLOUIN CORPORATION,1,1,,
POLYERA CORPORATION,3,3,,
DEMANDBASE,1,1,,
"KSWB-TV FOX 5, A DIVISION OF TRIBUNE TELEVISION COMPANY",2,2,,
DEMATIC CORP.,1,1,,
TX ALAMO BUSINESS GROUP. LLC,1,1,,
"BLUE BIRD DISTRIBUTION, INC.",1,1,,
TWO SIX CAPITAL LLC,1,1,,
DENMARK OLAR SCHOL DISTRICT TWO,1,1,,
"TWING, INC.",1,1,,
DENNIS J CHIN CPA,1,1,,
"HEIGHT CAPITAL, LLC",1,1,,
BLUE CLOUD TECHS CORP.,1,1,,
"KOUNTABLE, INC.",1,1,,
AGEISS INC.,1,1,,
STANT USA CORP.,1,1,,
ANITA GOODESIGN INC.,1,1,,
OANDA CORPORATION,1,1,,
BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,2,2,,
"HEDGE TRACKERS, LLC",1,1,,
DENTAL EQUIPMENT LLC DBA PELTON & CRANE,1,1,,
U.S.-CHINA SUMMIT INC.,1,1,,
"DENTAL HEALTH GROUP, PA",2,2,,
OCEANSIDE TEN MANAGEMENT INC.,1,1,,
"DENTAL SERVICES OF OHIO, JAMES G. TURK, DDS INC.",1,1,,
"HEIDRICK &AMP; STRUGGLES, INC.",1,1,,
DENTSPLY TULSA DENTAL SPECIALTIES (DIVISION OF DENTSPLY INTERNATIONAL),1,1,,
"KPH HEALTHCARE SERVICES, INC.",1,1,,
DENVER LANGUAGE SCHOOL,3,3,,
"PHC-LOS ALAMOS, INC.",1,1,,
DENVER MONTCLAIR INTERNATIONAL SCHOOL,1,1,,
GRAGG SERVICES LLC,1,1,,
ANJS TECHNOLOGIES LLC,1,1,,
PHARMA SERVICES LLC,1,2,,
BLUE ROAD MANAGEMENT LP,1,1,,
OLI ARCH ARCHITECTURE PLLC,1,1,,
DES MOINES AREA COMMUNITY COLLEGE,1,1,,
"OM GROUP CORPORATE, LLC",1,1,,
ANNOMATE LLC,1,1,,
"UNIFIED PUBLIC SCHOOL DISTRICT 501, TOPEKA PUBLIC SCHOOLS",4,4,,
"BLUE SKY BIOTECH, INC.",1,1,,
"KR DESIGN HOUSE, INC",1,1,,
DESIGN WEST ENGINEERING,1,1,,
"UNICON, INC.",1,1,,
"BLUE TALON DATA SYSTEMS, INC.",1,1,,
"PEGASYS SYSTEMS & TECHNOLOGIES, INC",3,3,,
"BLUE TALON, INC.",1,1,,
UNION PUERTORRIQUE&NTILDE;A DE LOS ADVENTISTAS DEL S&EACUTE;PTIMO D&IACUTE;A,1,1,,
"DESIGNWORKSUSA, INC.",1,1,,
ONE WILLIAM STREET CAPITAL MANAGEMENT LP,1,1,,
DESILVA GATES CONSTRUCTION,1,1,,
"GRAND CIRCLE, LLC",1,1,,
DESIMONE CONSULTING ENGINEERING GROUP,1,1,,
PAUL R WIESENFELD,1,1,,
"BLUE WATER SATELLITE, INC.",1,1,,
UNIVERSITY OF HOUSTON-VICTORIA,2,2,,
DESMONE ARCHITECTS,1,1,,
KREMENCHUKER LAW FIRM,1,1,,
"BLUE WATER WORLDWIDE MANAGEMENT CORPORATION, INC.",1,1,,
"STAR OF INDIA RESTAURANT,  INC.",1,1,,
DETEKT BIOMEDICAL LLC,1,1,,
GRAPHOLOGY CONSULTING GROUP INC,1,1,,
"DETROIT LABS, LLC",1,1,,
"UNITED STATES LUGGAGE COMPANY, LLC",1,1,,
ANPI LLC,1,1,,
UNITED CONSULTING GROUP LTD.,1,2,,
"BLUECREST CAPITAL MANAGEMENT (NEW YORK), L.P.",1,1,,
"UNIVERSAL LEAF NORTH AMERICA US, INC.",1,1,,
DEUTSCHE BANK SECURITES INC.,1,1,,
PAMELA ROSAS,1,1,,
DEVELOPONBOX LLC,1,1,,
UNIVERSAL MUSLIN ACADEMY,1,1,,
"DEVICESCAPE SOFTWARE, INC.",2,2,,
UNIVERSITY HEALTHCARE ALLIANCE,1,1,,
"ACCU-SWISS, INC.",1,1,,
OZGUNAYDIN ADVERTISING LLC NEW YORK,1,1,,
AGGREKO LLC,4,4,,
UNIVERSITY FEDERAL CREDIT UNION,1,1,,
ANTAGENE INC.,1,1,,
OUTSELL CORPORATION,2,2,,
ANTEA USA INC,1,1,,
UNIVERSITY OF ARKANSAS AT MONTICELLO,1,1,,
"DEX ONE SERVICE, INC",1,1,,
ROBERTSON COUNTY BOARD OF EDUCATION,1,1,,
"DEXONE SERVICE, INC.",2,2,,
"SAM RUBIN ENTERTAINMENT, INC",1,1,,
"DEXTER & CHANEY, LLC",1,1,,
"SAMBALATTE BOCA PARK, LLC",1,1,,
DH TAX AND ACCOUNTING SERVICES,1,1,,
"RIDOUT, BARRETT & CO., P.C.",1,1,,
"DHL AIR EXPRESS INTERNATIONAL USA, INC. D/B/A/ DHL GLOBAL FORWARDING",1,1,,
"SAMUEL T. FREEMAN & CO., INC.",2,2,,
BMO ASSET MANAGEMENT CORPORATION,1,1,,
"SARAS AMERICA, INC.",1,1,,
DI NISCO DESIGN PARTNERSHIP LTD,1,1,,
RK ADMINISTRATIVE SERVICES,1,1,,
"DIADEXUS, INC.",1,1,,
RIVERWAY BUILDERS LP,1,1,,
DIAG USA FOUNDATION,1,1,,
SBS PROPERTY MANAGEMENT,2,2,,
"DIAMOND FOODS, INC.",1,1,,
SEABURY AEROSPACE & DEFENSE M&A ADVISORY LLC,1,1,,
"DIAMOND TECHNOLOGIES, INC",1,1,,
ONIT INC.,2,2,,
BMT AEROSPACE,1,1,,
ISG-LOTUS  INC,1,2,,
BMUSE AGENCY LLC,1,1,,
ONE CALL STAFFING INC,1,1,,
"BNDH, INC.",1,1,,
"SEAMAAC, INC.",1,1,,
"DIBBLE & ASSOCIATES CONSULTING ENGINEERS, INC.",1,1,,
J. WALTER THOMPSON SPECIALIZED COMMUNICATIONS INC.,1,1,,
DICASS CONSTRUCTIONS INC,1,1,,
"SEGA NETWORKS, INC.",1,1,,
BNI GLOBAL LLC,1,1,,
"HEADWORKS, INC.",1,1,,
DIEGO L RESTREPO,1,1,,
"ON-LINE ADMINISTRATORS, INC.",1,1,,
"DIESTE, INC.",2,2,,
"SFBA INVESTMENT GROUP, LLC",1,1,,
"BNSF LOGISTICS, LLC",1,1,,
"ONCEPT, INC.",1,1,,
BOB DUFFY ASSOCIATES INC.,1,1,,
"SHALE WATER RESEARCH CENTER, LLC",1,1,,
DIGITAL DESIGN COMMUNICATION,2,2,,
"ISABELLA MAYZEL, ATTORNEY-AT-LAW DBA MAYZEL LAW GROUP",1,1,,
"DIGITAL DISH, INC.",1,1,,
"OMRON SCIENTIFIC TECHNOLOGIES, INC.",1,1,,
"DIGITAL ERA GROUP, LLC",1,1,,
OMOHUNDRO INSTITUTE FOR EARLY AMERICAN HISTORY AND DEMOCRACY,1,1,,
BOB JING DDS PA,1,1,,
SHIFT4 CORPORATION,2,2,,
DIGITAL MOBILE INNOCATIONS LLC,1,1,,
SHL US INC.,1,1,,
BOB'S BURGERS,1,1,,
RED CLAY CONSOLIDATED SCHOOL DISTRICT,5,5,,
"DIGITEL COMPUTER NETWORKING CONSULTANTS, INC.",1,1,,
"GRAPHIC PRODUCTS, INC.",1,1,,
DIGIVERSE,1,2,,
"REAKTOR, INC.",1,1,,
DIGIVERSELLC,1,2,,
"SIGHTHOUND, INC",1,1,,
ACCURATE ENVIRONMENTAL CONSULTING AND TRAINING INSTITUTE,2,2,,
"OLYMPUS SCIENTIFIC SOLUTIONS AMERICAS, INC.",1,1,,
"AGILETRAILBLAZERS, LLC",1,1,,
"HBC SOLUTIONS, INC.",1,1,,
DIMENSION HEALTH CORPORATION,1,1,,
"OLAERIS, INC.",1,1,,
"DIMPLEX THERMAL SOLUTIONS, INC.",4,6,,
SITTERCITY INCORPORATED,1,1,,
"DINSMORE & ASSOCIATES, INC.",1,1,,
"SKYE PARTNERS STUDIOS, INC.",3,3,,
"AON RISK CONSULTANTS, INC.",1,1,,
"OKLAHOMA PROCURE MANAGEMENT, LLC",1,1,,
"DIRECOTRPOINT, LLC",1,1,,
OKLAHOMA CITY BOATHOUSE FOUNDATION,1,1,,
"DIRECT PARTNERS, INC.",1,1,,
"OIL STATES INTERNATIONAL, INC.",1,1,,
DIRECT RADIOGRAPHY CORP.,1,1,,
SKYLITE NETWORKS,5,5,,
"DIRECTAPPS, INC.",1,1,,
"SLEEMAN HANLEY & DINITTO, INC",1,1,,
"BOIRON, INC.",1,1,,
SMARTAX GROUP INC.,1,1,,
AGL SERVICES COMPANY,2,2,,
"OGILVYONE, LLC",1,1,,
AOZORA GAKUEN LLC,2,2,,
OGILVY PUBLIC RELATIONS WORLDWIDE INC. - FEINSTEIN KEAN HEALTHCARE,1,1,,
"DISNEY CONSUMER PRODUCTS, INC.",1,1,,
SMITH CLINIC,1,1,,
DISNEY DIGITAL LEARNING,1,1,,
ILLINOIS WORKERS COMPENSATION COMMISSION,1,1,,
DISTINGUISHED PROGRAMS INSURANCE BROKERAGE LLC,4,4,,
"SMITHGROUPJJR, INC., (WHOLLY OWNED SUB. OF SMITHGROUP CO. INC.)",1,1,,
"APACHE DESIGN, INC.",2,2,,
SNOW LEOPARD CONSERVANCY,2,2,,
DIVCO WEST SERVICES LLC,1,1,,
SMARTEK21 LLC,9,9,,
DIXON ENTERTAINMENT LLC,1,1,,
"SKYSOFT, INC.",1,1,,
DJ INVESTMENT GROUP INC,2,2,,
OCFITNESS LLC,1,1,,
"DLJ REAL ESTATE CAPITAL PARTNERS, LLC",1,1,,
SOUTHWEST GENERATION OPERATING COMPANY LLC,1,1,,
"DM TRANS, LLC",1,1,,
SOUTWEST ELECTRITECH SERVICES LLC,1,1,,
"411 S. LINCOLN AVENUE, LLC",1,1,,
"SP TEKS, INC.",1,1,,
"411 SOUTH LINCOLN AVENUE, LLC",1,1,,
"SPARKETPLACE, INC.",1,1,,
"A.S.K. ASSOCIATES, INC.",2,2,,
"OC & C STRATEGY CONSULTANTS, LLC",1,1,,
APEX BRAIN CENTERS,1,1,,
"ORECO US, INC.",1,1,,
"BOOST MEDIA, INC.",4,4,,
