Current_Year,Current_Month,1st_year,1st_month,China_EB1,2nd_year,2nd_month,China_EB2,3rd_year,3rd_month,China_EB3,Date
1991,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/91
1991,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/91
1991,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/91
1992,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/92
1992,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/92
1992,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/92
1992,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/92
1992,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/92
1992,6,C ,C ,0,1990,5,25,C ,C ,0,6/1/92
1992,7,C ,C ,0,1990,5,26,1989,2,41,7/1/92
1992,8,C ,C ,0,1990,10,22,1989,2,42,8/1/92
1992,9,C ,C ,0,1990,10,23,1989,6,39,9/1/92
1992,10,C ,C ,0,1991,3,19,1991,4,18,10/1/92
1992,11,C ,C ,0,1991,4,19,1991,4,19,11/1/92
1992,12,C ,C ,0,1991,6,18,1991,5,19,12/1/92
1993,1,C ,C ,0,1991,8,17,1991,5,20,1/1/93
1993,2,C ,C ,0,1991,9,17,1991,6,20,2/1/93
1993,3,C ,C ,0,1991,9,18,1991,6,21,3/1/93
1993,4,C ,C ,0,1991,9,19,1991,7,21,4/1/93
1993,5,C ,C ,0,1991,10,19,1991,8,21,5/1/93
1993,6,C ,C ,0,1992,2,16,1991,9,21,6/1/93
1993,7,C ,C ,0,1992,11,8,1991,10,21,7/1/93
1993,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/93
1993,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/93
1993,10,C ,C ,0,1992,12,10,1993,7,3,10/1/93
1993,11,C ,C ,0,1992,2,21,1993,7,4,11/1/93
1993,12,C ,C ,0,1992,11,13,1993,7,5,12/1/93
1994,1,C ,C ,0,1993,1,12,1993,7,6,1/1/94
1994,2,C ,C ,0,1993,7,7,1993,7,7,2/1/94
1994,3,C ,C ,0,C ,C ,0,1993,7,8,3/1/94
1994,4,C ,C ,0,C ,C ,0,1993,7,9,4/1/94
1994,5,C ,C ,0,C ,C ,0,1993,7,10,5/1/94
1994,6,C ,C ,0,C ,C ,0,1993,7,11,6/1/94
1994,7,C ,C ,0,C ,C ,0,1993,7,12,7/1/94
1994,8,C ,C ,0,C ,C ,0,1993,7,13,8/1/94
1994,9,C ,C ,0,C ,C ,0,1993,7,14,9/1/94
1994,10,C ,C ,0,C ,C ,0,1993,7,15,10/1/94
1994,11,C ,C ,0,C ,C ,0,1993,7,16,11/1/94
1994,12,C ,C ,0,C ,C ,0,1993,7,17,12/1/94
1995,1,C ,C ,0,C ,C ,0,1993,7,18,1/1/95
1995,2,C ,C ,0,C ,C ,0,1993,7,19,2/1/95
1995,3,C ,C ,0,C ,C ,0,1993,7,20,3/1/95
1995,4,C ,C ,0,C ,C ,0,1993,7,21,4/1/95
1995,5,C ,C ,0,C ,C ,0,1993,7,22,5/1/95
1995,6,C ,C ,0,C ,C ,0,1993,7,23,6/1/95
1995,7,C ,C ,0,C ,C ,0,1993,7,24,7/1/95
1995,8,C ,C ,0,C ,C ,0,1993,11,21,8/1/95
1995,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/95
1995,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/95
1995,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/95
1995,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/95
1996,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/96
1996,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/96
1996,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/96
1996,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/96
